Entry Date,Symbol,Quantity,Entry Price,Exit Date,Exit Price,Return,Return per Trade Day,Return (USD)
2021-04-15,SOL-USD,359.4754212739722,27.81831359863281,2021-04-19,31.67589569091797,3.246535924843917,3.246535924843917,1386.7059477231376
2021-04-21,SOL-USD,307.56887840913265,32.51304244995117,2021-04-23,36.97842025756836,6.434659561379441,6.434659561379441,1373.41124396185
2021-04-30,SOL-USD,232.79634280696564,42.95600128173828,2021-05-02,46.89098739624024,4.382456238003588,4.382456238003588,916.0503764522464
2021-05-03,SOL-USD,217.7051352099007,45.93368911743164,2021-05-04,42.72955703735352,-7.230793249094858,-7.230793249094858,-697.5560077237886
2021-05-12,SOL-USD,235.5307028463524,42.45730972290039,2021-05-13,40.99785232543945,-3.4979410970977307,-3.4979410970977307,-343.7470265982829
2021-05-14,SOL-USD,234.09409628234167,42.717864990234375,2021-05-15,43.461307525634766,1.725384351862142,1.725384351862142,174.03550846240728
2021-05-16,SOL-USD,211.86068776168,47.200828552246094,2021-05-19,35.107181549072266,-9.866857814306744,-9.866857814306744,-2562.168371639388
2021-05-20,SOL-USD,223.49990532049367,44.74274826049805,2021-05-21,38.81285095214844,-14.217797964641385,-14.217797964641385,-1325.3314869763883
2021-05-23,SOL-USD,405.0428252008998,24.68874740600586,2021-05-27,33.584590911865234,7.692994718541716,7.692994718541716,3603.197586158359
2021-05-29,SOL-USD,365.2778429010148,27.376420974731445,2021-06-01,30.985260009765625,4.127650443626528,4.127650443626528,1318.228938094265
2021-06-02,SOL-USD,294.496005985545,33.95631790161133,2021-06-04,37.415069580078125,4.849931110979867,4.849931110979867,1018.5885550042716
2021-06-23,SOL-USD,332.7910253670259,30.048887252807617,2021-06-24,31.18103408813477,3.698439775089674,3.698439775089674,376.7683061945551
2021-06-26,SOL-USD,336.55467328382235,29.712854385375977,2021-06-28,32.92778015136719,5.13684616097279,5.13684616097279,1081.9982908049144
2021-07-03,SOL-USD,290.0331529366598,34.478816986083984,2021-07-05,32.984588623046875,-2.2152347049324623,-2.2152347049324623,-433.3757633390368
2021-07-06,SOL-USD,291.8077455551871,34.26913833618164,2021-07-07,36.59136962890625,6.556721792764546,6.556721792764546,677.6450781876761
2021-07-17,SOL-USD,374.22813234973967,26.721668243408203,2021-08-17,64.21070861816406,2.8280490861721828,2.8280490861721828,14029.45356302887
2021-08-18,SOL-USD,137.84868259076688,72.5433120727539,2021-08-19,72.75760650634766,0.2949665990583259,0.2949665990583259,29.540205357433017
2021-08-20,SOL-USD,127.02507018156447,78.72461700439453,2021-08-21,73.75621032714844,-6.519070249416527,-6.519070249416527,-631.1122068677387
2021-08-22,SOL-USD,137.35524710101225,72.80391693115234,2021-08-24,70.67090606689453,-1.4867891018729995,-1.4867891018729995,-292.9802343292756
2021-08-25,SOL-USD,138.98237653586597,71.95156860351562,2021-08-31,108.48377227783205,6.843456052326495,6.843456052326495,5077.332486748789
2021-09-02,SOL-USD,78.0625582020836,128.10238647460938,2021-09-04,139.11306762695312,4.122860006419934,4.122860006419934,859.5219382994188
2021-09-05,SOL-USD,70.387402442143,142.0708770751953,2021-09-07,173.14892578125,9.89129997219525,9.89129997219525,2187.5031213895927
2021-09-12,SOL-USD,57.294235659262256,174.53762817382812,2021-09-13,169.26954650878906,-3.064795853304492,-3.064795853304492,-301.83071238898674
2021-09-15,SOL-USD,62.84668357064982,159.1173858642578,2021-09-19,152.51669311523438,-1.0592038149237493,-1.0592038149237493,-414.8316485449587
2021-09-21,SOL-USD,80.67743637893035,123.9503936767578,2021-09-24,139.39564514160156,3.91449410839457,3.91449410839457,1246.0832924115125
2021-09-25,SOL-USD,73.43280197189304,136.17892456054688,2021-09-28,131.53721618652344,-1.155993947674899,-1.155993947674899,-340.8536518409407
2021-09-29,SOL-USD,73.8817321848085,135.35145568847656,2021-10-02,169.093017578125,7.419139746080735,7.419139746080735,2492.885039028147
2021-10-07,SOL-USD,64.81671593987205,154.28118896484375,2021-10-22,196.43153381347656,1.6102473487633735,1.6102473487633735,2732.046928821482
2021-10-23,SOL-USD,50.580702523478166,197.703857421875,2021-10-25,210.1042938232422,3.041690160489325,3.041690160489325,627.2227847788638
2021-10-28,SOL-USD,51.31784662372326,194.86398315429688,2021-10-29,200.1827545166016,2.6928928998793498,2.6928928998793498,272.9478929974036
2021-10-31,SOL-USD,49.40198391902706,202.4210205078125,2021-11-01,203.5450897216797,0.5537763168783065,0.5537763168783065,55.53124922734018
2021-11-13,SOL-USD,41.35221281599319,241.8250274658203,2021-11-14,238.425521850586,-1.4157453442226406,-1.4157453442226406,-140.5770796703357
2021-11-15,SOL-USD,42.0957620777537,237.55360412597656,2021-11-16,219.2390289306641,-8.023070867545954,-8.023070867545954,-770.9659999770046
2021-11-17,SOL-USD,45.72155089934073,218.7152404785156,2021-11-22,215.73727416992188,-0.2741853573361991,-0.2741853573361991,-136.15723815489096
2021-11-23,SOL-USD,45.078163524312295,221.8368988037109,2021-11-24,214.92153930664065,-3.1669393716134184,-3.1669393716134184,-311.7317062383416
2021-11-27,SOL-USD,51.78606041828212,193.10215759277344,2021-12-02,233.9930419921875,3.8414403403924062,3.8414403403924062,2117.5778100650464
2021-12-10,SOL-USD,59.539816525497024,167.954833984375,2021-12-24,190.273193359375,0.8911842949238863,0.8911842949238863,1328.8310223376063
2021-12-30,SOL-USD,57.88672129702435,172.75119018554688,2021-12-31,170.299072265625,-1.4296212259146668,-1.4296212259146668,-141.94506661795666
2022-01-05,SOL-USD,64.47464419708525,155.0997314453125,2022-01-09,140.83900451660156,-2.411272815297785,-2.411272815297785,-919.45529472043
2022-02-11,SOL-USD,103.75394028607376,96.3818817138672,2022-02-25,92.59882354736328,-0.2860128430447741,-0.2860128430447741,-392.50719110619
2022-03-05,SOL-USD,111.54758141947087,89.64784240722656,2022-03-10,82.9390869140625,-1.5556537430253137,-1.5556537430253137,-748.3454495970408
2022-03-11,SOL-USD,123.84668530212576,80.7449951171875,2022-03-17,87.87684631347656,1.4106730063461048,1.4106730063461048,883.2561307284005
2022-03-19,SOL-USD,108.20385172426774,92.41815185546876,2022-03-25,98.6581039428711,1.088949492013153,1.088949492013153,675.1868504318181
2022-03-26,SOL-USD,98.26640081838688,101.7641830444336,2022-03-31,122.66146087646484,3.7354000876890026,3.7354000876890026,2053.500279455573
2022-04-07,SOL-USD,84.1775525199351,118.79651641845705,2022-04-08,109.8008804321289,-7.874353587082231,-7.874353587082231,-757.2306206893539
2022-04-09,SOL-USD,88.51688697065082,112.97279357910156,2022-04-10,111.74243927001952,-1.0950451271305843,-1.0950451271305843,-108.90713331086734
2022-04-12,SOL-USD,96.79943429285684,103.30638885498048,2022-04-13,105.00194549560548,1.6279656722662563,1.6279656722662563,164.12892362399677
2022-05-01,SOL-USD,111.51814143691234,89.6715087890625,2022-05-02,87.58101654052734,-2.3588822540907706,-2.3588822540907706,-233.12781024491247
2022-05-11,SOL-USD,199.16014262669333,50.21084976196289,2022-05-15,58.81126022338867,3.952555072682247,3.952555072682247,1712.858974145664
2022-05-19,SOL-USD,191.5195972173608,52.2139778137207,2022-05-23,49.05685043334961,-1.559259868586046,-1.559259868586046,-604.6517642525732
2022-05-27,SOL-USD,244.013458420514,40.98134613037109,2022-05-29,44.90961456298828,4.576745694402608,4.576745694402608,958.5503658470518
2022-06-02,SOL-USD,244.55052189852412,40.8913459777832,2022-06-20,35.4171142578125,-0.7984627441723395,-0.7984627441723395,-1338.7262241122912
2022-06-23,SOL-USD,261.94994747890763,38.17523193359375,2022-06-24,42.2120475769043,10.051874128007949,10.051874128007949,1057.4436457472304
2022-06-29,SOL-USD,295.21252635182617,33.8739013671875,2022-07-05,35.39555358886719,0.7323560117921312,0.7323560117921312,449.2107965909296
2022-07-10,SOL-USD,272.49731758374014,36.69760894775391,2022-07-16,39.57412338256836,1.2577308847183857,1.2577308847183857,783.8424674778469
2022-07-18,SOL-USD,228.59149968960892,43.74615859985352,2022-07-19,44.89987564086914,2.603121953650579,2.603121953650579,263.72990862321984
2022-07-26,SOL-USD,276.3129116395064,36.19085311889648,2022-07-28,42.84526824951172,8.439440120028323,8.439440120028323,1838.7008199982813
2022-08-03,SOL-USD,259.4409367680016,38.54441833496094,2022-08-06,40.0570068359375,1.2830770389121549,1.2830770389121549,392.4273776378666
2022-08-18,SOL-USD,252.87499354895965,39.54523086547852,2022-09-08,33.608646392822266,-0.774579690546096,-0.774579690546096,-1501.2137602258033
2022-11-09,SOL-USD,717.3160192113202,13.94085693359375,2023-01-10,16.19672393798828,0.2419114827365807,0.2419114827365807,1618.1695394624508
2023-02-10,SOL-USD,496.7682792502351,20.130109786987305,2023-02-13,20.79010009765625,1.075340767485398,1.075340767485398,327.86225095284004
2023-03-04,SOL-USD,476.9436192980372,20.96683883666992,2023-03-13,20.433712005615234,-0.2861777824726159,-0.2861777824726159,-254.27144034811585
2023-03-16,SOL-USD,506.8284198143417,19.73054313659668,2023-03-18,21.19590187072754,3.582000344364897,3.582000344364897,742.6854516806875
2023-03-19,SOL-USD,456.5500761035803,21.90340232849121,2023-03-20,22.176464080810547,1.238956773241452,1.238956773241452,124.66636380236982
2023-03-22,SOL-USD,465.5388169076416,21.48048591613769,2023-04-13,24.432308197021484,0.5852794168167619,0.5852794168167619,1374.1878523642551
2023-04-16,SOL-USD,394.2918054766528,25.361927032470703,2023-04-17,24.55884552001953,-3.217701810672163,-3.217701810672163,-316.64845948929354
2023-04-18,SOL-USD,402.37093463091657,24.852689743041992,2023-04-25,21.92725372314453,-1.7890808639519262,-1.7890808639519262,-1177.11042552909
2023-04-27,SOL-USD,447.6252777551527,22.34011459350586,2023-04-28,23.366287231445312,4.491034377949419,4.491034377949419,459.3408120823855
2023-05-02,SOL-USD,449.1358498709144,22.26497840881348,2023-05-03,22.218002319335938,-0.2112093487068586,-0.2112093487068586,-21.098645871106623
2023-05-05,SOL-USD,438.0947797092381,22.82611083984375,2023-05-06,21.974262237548828,-3.8033222779018985,-3.8033222779018985,-373.1904257680162
2023-05-07,SOL-USD,457.786819436905,21.84422874450684,2023-05-11,20.23488044738769,-1.9132221466385544,-1.9132221466385544,-736.7384383043706
2023-05-12,SOL-USD,478.19903367472034,20.911794662475582,2023-05-13,20.86876106262207,-0.2059982895130688,-0.2059982895130688,-20.57862586549576
2023-05-22,SOL-USD,511.7171563374151,19.54204559326172,2023-05-24,19.223663330078125,-0.8213171664998407,-0.8213171664998407,-162.92166634457908
2023-05-25,SOL-USD,519.1929518859623,19.260662078857425,2023-05-28,20.7985782623291,2.5606616656679053,2.5606616656679053,798.4752430498546
2023-06-08,SOL-USD,528.8354027446611,18.90947532653809,2023-07-14,26.7357177734375,0.9620479980050504,0.9620479980050504,4138.794076383414
2023-07-25,SOL-USD,429.5657812340102,23.279321670532227,2023-07-26,25.17705345153809,7.836751779510653,7.836751779510653,815.2006350803915
2023-08-03,SOL-USD,441.7732034615656,22.636049270629883,2023-08-07,23.068756103515625,0.4733854112118157,0.4733854112118157,191.15828372364265
2023-08-17,SOL-USD,460.6177725919388,21.70997428894043,2023-08-20,21.77327537536621,0.0970505986114536,0.0970505986114536,29.15760543209317
2023-09-11,SOL-USD,563.724351729038,17.739166259765625,2023-09-14,18.83830642700196,2.003913155980184,2.003913155980184,619.6120782346454
2023-09-18,SOL-USD,508.71827036098574,19.657245635986328,2023-09-19,20.03618812561035,1.9094039825777724,1.9094039825777724,192.774967887819
2023-10-28,SOL-USD,315.922642675359,31.653318405151367,2023-11-01,41.461544036865234,6.748083947473872,6.748083947473872,3098.6405615272374
2023-11-03,SOL-USD,253.03797307069937,39.51976013183594,2023-11-05,41.23860168457031,2.1286974237766447,2.1286974237766447,434.9321825335999
2023-11-06,SOL-USD,237.368496970732,42.12858963012695,2023-11-07,43.09254455566406,2.262340318630713,2.262340318630713,228.81253182227752
2023-11-14,SOL-USD,175.937471539122,56.838375091552734,2023-11-15,65.5344009399414,14.236349455001143,14.236349455001143,1529.956800204351
2023-11-22,SOL-USD,173.64560449296343,57.58855819702149,2023-11-23,56.599369049072266,-1.732606795289679,-1.732606795289679,-171.76834755352152
2023-12-05,SOL-USD,163.94831860474818,60.99483108520508,2023-12-22,98.00369262695312,2.789506079721754,2.789506079721754,6067.540623245521
2024-01-06,SOL-USD,106.54424656435204,93.85771942138672,2024-01-17,102.0635986328125,0.761964750713033,0.761964750713033,874.2892179794392
2024-01-22,SOL-USD,119.58459607490788,83.62281036376953,2024-01-25,86.88921356201172,1.2772521911505368,1.2772521911505368,390.6115070795792
2024-02-05,SOL-USD,104.6587149508047,95.54866027832033,2024-02-07,100.97927856445312,2.7639841817339805,2.7639841817339805,568.3615312150015
2024-02-17,SOL-USD,91.75657429988463,108.98401641845705,2024-02-19,111.4853286743164,1.1345883866204178,1.1345883866204178,229.5118438519728
2024-02-21,SOL-USD,95.12465116231812,105.1252212524414,2024-02-25,103.4534912109375,-0.400751787985446,-0.400751787985446,-159.02273703562668
2024-03-03,SOL-USD,76.65721396130738,130.45086669921875,2024-03-15,182.96469116210932,2.819137785636177,2.819137785636177,4025.563477778344
2024-03-20,SOL-USD,52.20579355578363,191.54962158203125,2024-03-21,179.2207489013672,-6.652861546950696,-6.652861546950696,-643.6385819422887
